wl,k
2.4797e-01,2.0847e+00
2.4934e-01,2.1028e+00
2.5072e-01,2.1208e+00
2.5211e-01,2.1388e+00
2.5351e-01,2.1567e+00
2.5492e-01,2.1746e+00
2.5633e-01,2.1925e+00
2.5775e-01,2.2104e+00
2.5918e-01,2.2282e+00
2.6061e-01,2.2460e+00
2.6206e-01,2.2638e+00
2.6351e-01,2.2816e+00
2.6497e-01,2.2993e+00
2.6644e-01,2.3170e+00
2.6792e-01,2.3347e+00
2.6940e-01,2.3523e+00
2.7090e-01,2.3700e+00
2.7240e-01,2.3876e+00
2.7391e-01,2.4052e+00
2.7542e-01,2.4228e+00
2.7695e-01,2.4403e+00
2.7849e-01,2.4579e+00
2.8003e-01,2.4754e+00
2.8158e-01,2.4929e+00
2.8314e-01,2.5104e+00
2.8471e-01,2.5279e+00
2.8629e-01,2.5454e+00
2.8788e-01,2.5628e+00
2.8947e-01,2.5803e+00
2.9108e-01,2.5977e+00
2.9269e-01,2.6151e+00
2.9431e-01,2.6325e+00
2.9594e-01,2.6499e+00
2.9758e-01,2.6673e+00
2.9923e-01,2.6846e+00
3.0089e-01,2.7019e+00
3.0256e-01,2.7193e+00
3.0423e-01,2.7366e+00
3.0592e-01,2.7539e+00
3.0762e-01,2.7711e+00
3.0932e-01,2.7884e+00
3.1104e-01,2.8056e+00
3.1276e-01,2.8229e+00
3.1449e-01,2.8401e+00
3.1624e-01,2.8573e+00
3.1799e-01,2.8744e+00
3.1975e-01,2.8916e+00
3.2152e-01,2.9087e+00
3.2331e-01,2.9258e+00
3.2510e-01,2.9429e+00
3.2690e-01,2.9600e+00
3.2871e-01,2.9770e+00
3.3053e-01,2.9940e+00
3.3236e-01,3.0110e+00
3.3421e-01,3.0280e+00
3.3606e-01,3.0450e+00
3.3792e-01,3.0619e+00
3.3979e-01,3.0788e+00
3.4168e-01,3.0956e+00
3.4357e-01,3.1125e+00
3.4548e-01,3.1293e+00
3.4739e-01,3.1460e+00
3.4932e-01,3.1627e+00
3.5125e-01,3.1794e+00
3.5320e-01,3.1961e+00
3.5516e-01,3.2127e+00
3.5712e-01,3.2293e+00
3.5910e-01,3.2458e+00
3.6109e-01,3.2623e+00
3.6309e-01,3.2788e+00
3.6511e-01,3.2952e+00
3.6713e-01,3.3115e+00
3.6917e-01,3.3278e+00
3.7121e-01,3.3441e+00
3.7327e-01,3.3603e+00
3.7534e-01,3.3764e+00
3.7742e-01,3.3925e+00
3.7951e-01,3.4085e+00
3.8161e-01,3.4245e+00
3.8373e-01,3.4404e+00
