Wavelength,n,k
1.97009e-6,1.43851,0
2.0581e-6,1.43722,0
2.1526e-6,1.43576,0
2.32542e-6,1.43292,0
2.4374e-6,1.43095,0
3.2439e-6,1.41314,0
3.2668e-6,1.41253,0
3.3026e-6,1.41155,0
3.422e-6,1.40819,0
3.5070e-6,1.40568,0
3.5564e-6,1.40418,0
4.167e-6,1.383,0
4.545e-6,1.365,0
5.000e-6,1.342,0
5.556e-6,1.306,0
6.250e-6,1.239,0
6.452e-6,1.212,0
6.667e-6,1.175,0
7.042e-6,1.084,0
7.874e-6,0.5456,0.132
7.937e-6,0.4677,0.216
8.000e-6,0.4113,0.323
8.130e-6,0.4020,0.553
8.265e-6,0.4530,0.704
8.475e-6,0.4746,0.903
8.621e-6,0.4563,1.07
8.850e-6,0.3563,1.53
8.929e-6,0.3705,1.85
9.009e-6,0.5846,2.27
9.091e-6,1.043,2.55
9.174e-6,1.616,2.63
9.302e-6,2.250,2.26
9.524e-6,2.760,1.65
9.756e-6,2.839,0.962
10.00e-6,2.694,0.509
10.26e-6,2.448,0.231
10.53e-6,2.224,0.102
10.81e-6,2.038,4.60e-2
11.11e-6,1.869,5.06e-2
11.36e-6,1.784,7.75e-2
11.63e-6,1.690,0.116
11.76e-6,1.652,0.152
11.90e-6,1.619,0.204
12.05e-6,1.615,0.267
12.20e-6,1.658,0.323
12.50e-6,1.753,0.343
12.66e-6,1.789,0.314
12.82e-6,1.811,0.275
12.99e-6,1.810,0.227
13.16e-6,1.779,0.192
13.33e-6,1.756,0.177
13.79e-6,1.698,0.157
14.29e-6,1.643,0.157
14.81e-6,1.598,0.168
15.38e-6,1.555,0.182
16.00e-6,1.502,0.202
16.67e-6,1.450,0.235
17.24e-6,1.401,0.264
17.86e-6,1.337,0.298
18.52e-6,1.235,0.341
18.97e-6,1.161,0.377
19.23e-6,1.050,0.415
19.61e-6,0.8857,0.524
20.00e-6,0.6616,0.822
20.41e-6,0.5777,1.28
20.83e-6,0.7517,1.86
21.05e-6,1.002,2.22
21.28e-6,1.484,2.39
21.74e-6,2.308,2.29
22.73e-6,2.936,1.29
23.81e-6,2.912,0.738
25.00e-6,2.739,0.397
26.67e-6,2.537,0.199
28.57e-6,2.388,0.13
30.77e-6,2.284,9.2e-2
