,wl,n,k
0,6.67e-07,2.370432,3.0317254
1,7.140000000000001e-07,2.5658703,3.1836237
2,7.69e-07,2.8061078,3.2717366
3,8.329999999999999e-07,3.1079186,3.3007447
4,9.09e-07,3.3065327000000004,3.2405736000000003
5,1e-06,3.3957928,3.2418120999999998
6,1.05e-06,3.4440424,3.2989913
7,1.11e-06,3.5179021,3.3609902000000003
8,1.18e-06,3.6009322,3.4342207
9,1.2499999999999999e-06,3.698148,3.5123265
10,1.33e-06,3.8097162000000004,3.5906589
11,1.4299999999999999e-06,3.9419174,3.7122171
12,1.5399999999999999e-06,4.0126191,3.8077018
13,1.6699999999999999e-06,4.2746437,3.8609248999999997
14,1.82e-06,4.4682212,3.8823682
15,2e-06,4.675237200000001,3.8164244
16,2.1099999999999997e-06,4.7311251,3.7288987000000002
17,2.22e-06,4.7418094,3.6030773999999997
18,2.35e-06,4.6520327,3.3990496
19,2.4999999999999998e-06,4.364761,3.1898828999999997
20,2.67e-06,3.8144105,3.0741947999999995
21,2.8599999999999997e-06,3.0649496,3.5829977999999993
22,3.0799999999999997e-06,2.4004043,4.4865443
23,3.33e-06,2.3943002,5.420402200000001
24,3.64e-06,2.5809283,6.2578349
25,4e-06,2.7313635,7.0189943
26,4.44e-06,2.8327334,7.7291731
27,4.9999999999999996e-06,2.3660792,8.789608300000001
28,5.7099999999999995e-06,2.1867058999999998,10.53627
29,6.67e-06,2.4841185,12.895769
30,8e-06,3.2048691000000002,15.799043
31,9.999999999999999e-06,4.0715739,19.664351
32,1.1099999999999999e-05,4.5921948,21.789718
33,1.2499999999999999e-05,5.29318,24.380236
34,1.43e-05,6.2397504,27.621553000000002
35,1.67e-05,7.5817542,31.846916999999998
36,1.9999999999999998e-05,9.6744916,37.605191
37,2.2199999999999998e-05,11.217047,41.326081
38,2.4999999999999998e-05,13.29969,45.839465000000004
39,2.86e-05,16.284041000000002,51.475157
40,3.3299999999999996e-05,20.880751999999998,58.046709
41,3.9999999999999996e-05,27.169228999999998,65.925258
42,4.4399999999999995e-05,31.260310999999998,70.562709
43,4.9999999999999996e-05,36.217641,75.80949100000001
44,5.71e-05,42.303853000000004,81.834224
45,6.67e-05,49.906684000000006,88.904473
46,7.999999999999999e-05,59.644856999999995,97.484039
47,9.999999999999999e-05,72.530316,108.42373
48,0.000125,86.399911,120.07897
49,0.000154,100.49717,131.88977
