wl,n,k
2.0e-06,4.66,3.83
2.07e-06,4.71,3.77
2.14e-06,4.74,3.71
2.21e-06,4.75,3.62
2.30e-06,4.73,3.50
2.38e-06,4.62,3.35
2.48e-06,4.43,3.22
2.53e-06,4.29,3.15
2.58e-06,4.11,3.10
2.64e-06,3.89,3.08
2.70e-06,3.62,3.12
2.76e-06,3.35,3.25
2.82e-06,3.10,3.44
2.88e-06,2.88,3.68
2.95e-06,2.69,3.98
3.02e-06,2.56,4.32
3.10e-06,2.49,4.68
3.18e-06,2.48,5.02
3.26e-06,2.52,5.35
3.35e-06,2.59,5.65
3.44e-06,3.44,5.93
3.54e-06,2.74,2.74
3.65e-06,2.82,6.52
3.76e-06,2.95,6.88
3.87e-06,3.17,7.29
4.00e-06,3.60,7.87
4.13e-06,6.39,9.94
4.28e-06,4.15,3.06
4.43e-06,1.43,5.65
4.59e-06,2.00,6.98
4.77e-06,2.08,7.56
4.96e-06,2.05,8.10
5.17e-06,2.01,8.66
5.39e-06,1.98,9.27
5.64e-06,2.00,9.92
5.90e-06,2.04,10.61
6.20e-06,2.12,11.34
6.53e-06,2.23,12.12
6.89e-06,2.41,12.94
7.29e-06,2.60,13.79
7.75e-06,2.81,14.70
8.27e-06,3.00,15.72
8.86e-06,3.22,16.87
9.54e-06,3.49,18.23
10.3e-06,3.90,19.79
11.3e-06,4.48,21.45
12.5e-06,5.2,24.40
14.3e-06,6.24,27.60
16.7e-06,7.58,31.80
20.0e-06,9.67,37.60
22.2e-06,11.20,41.30
25.0e-06,13.30,45.80
28.6e-06,16.30,51.50
33.3e-06,20.90,58.00
40.0e-06,27.20,65.90
44.4e-06,31.30,70.60
50.0e-06,36.20,75.80
57.1e-06,42.30,81.80
66.7e-06,49.90,88.90
80.0e-06,59.64,97.50
100e-06,72.50,108.40
125e-06,86.40,120.00
154e-06,100.50,131.90
200e-06,120.00,148.40
