wl,k
2.4797e-01,1.5069e+00
2.4917e-01,1.5166e+00
2.5038e-01,1.5263e+00
2.5159e-01,1.5361e+00
2.5281e-01,1.5458e+00
2.5403e-01,1.5556e+00
2.5526e-01,1.5654e+00
2.5650e-01,1.5753e+00
2.5774e-01,1.5851e+00
2.5899e-01,1.5950e+00
2.6025e-01,1.6049e+00
2.6151e-01,1.6148e+00
2.6278e-01,1.6247e+00
2.6405e-01,1.6346e+00
2.6533e-01,1.6446e+00
2.6661e-01,1.6546e+00
2.6790e-01,1.6646e+00
2.6920e-01,1.6746e+00
2.7051e-01,1.6847e+00
2.7182e-01,1.6948e+00
2.7313e-01,1.7048e+00
2.7446e-01,1.7150e+00
2.7579e-01,1.7251e+00
2.7712e-01,1.7352e+00
2.7847e-01,1.7454e+00
2.7982e-01,1.7556e+00
2.8117e-01,1.7658e+00
2.8253e-01,1.7761e+00
2.8390e-01,1.7863e+00
2.8528e-01,1.7966e+00
2.8666e-01,1.8069e+00
2.8805e-01,1.8172e+00
2.8944e-01,1.8275e+00
2.9085e-01,1.8379e+00
2.9226e-01,1.8483e+00
2.9367e-01,1.8587e+00
2.9509e-01,1.8691e+00
2.9652e-01,1.8795e+00
2.9796e-01,1.8900e+00
2.9940e-01,1.9005e+00
3.0085e-01,1.9110e+00
3.0231e-01,1.9215e+00
3.0378e-01,1.9320e+00
3.0525e-01,1.9426e+00
3.0673e-01,1.9531e+00
3.0821e-01,1.9637e+00
3.0971e-01,1.9743e+00
3.1121e-01,1.9849e+00
3.1272e-01,1.9956e+00
3.1423e-01,2.0062e+00
3.1575e-01,2.0169e+00
3.1728e-01,2.0276e+00
3.1882e-01,2.0383e+00
3.2036e-01,2.0490e+00
3.2192e-01,2.0597e+00
3.2348e-01,2.0704e+00
3.2504e-01,2.0812e+00
3.2662e-01,2.0920e+00
3.2820e-01,2.1027e+00
3.2979e-01,2.1135e+00
3.3139e-01,2.1243e+00
3.3299e-01,2.1351e+00
3.3461e-01,2.1459e+00
3.3623e-01,2.1568e+00
3.3786e-01,2.1676e+00
3.3949e-01,2.1784e+00
3.4114e-01,2.1893e+00
3.4279e-01,2.2001e+00
3.4445e-01,2.2110e+00
3.4612e-01,2.2218e+00
3.4780e-01,2.2327e+00
3.4948e-01,2.2435e+00
3.5118e-01,2.2543e+00
3.5288e-01,2.2652e+00
3.5459e-01,2.2760e+00
3.5631e-01,2.2868e+00
3.5803e-01,2.2977e+00
3.5977e-01,2.3085e+00
3.6151e-01,2.3193e+00
3.6326e-01,2.3301e+00
3.6502e-01,2.3408e+00
3.6679e-01,2.3516e+00
3.6857e-01,2.3623e+00
3.7035e-01,2.3731e+00
3.7215e-01,2.3838e+00
3.7395e-01,2.3944e+00
3.7576e-01,2.4051e+00
3.7758e-01,2.4157e+00
3.7941e-01,2.4263e+00
3.8125e-01,2.4369e+00
3.8310e-01,2.4474e+00
3.8495e-01,2.4579e+00
3.8682e-01,2.4683e+00
3.8869e-01,2.4787e+00
3.9057e-01,2.4891e+00
3.9247e-01,2.4994e+00
3.9437e-01,2.5097e+00
3.9628e-01,2.5199e+00
3.9820e-01,2.5300e+00
4.0013e-01,2.5401e+00
4.0207e-01,2.5501e+00
4.0401e-01,2.5601e+00
4.0597e-01,2.5700e+00
4.0794e-01,2.5798e+00
4.0991e-01,2.5896e+00
4.1190e-01,2.5993e+00
4.1390e-01,2.6089e+00
4.1590e-01,2.6184e+00
4.1792e-01,2.6278e+00
4.1994e-01,2.6371e+00
4.2198e-01,2.6464e+00
4.2402e-01,2.6556e+00
4.2607e-01,2.6646e+00
4.2814e-01,2.6736e+00
4.3021e-01,2.6824e+00
4.3230e-01,2.6912e+00
4.3439e-01,2.6999e+00
4.3650e-01,2.7084e+00
4.3861e-01,2.7168e+00
4.4074e-01,2.7252e+00
4.4287e-01,2.7334e+00
4.4502e-01,2.7415e+00
4.4717e-01,2.7494e+00
4.4934e-01,2.7573e+00
4.5152e-01,2.7650e+00
4.5370e-01,2.7727e+00
4.5590e-01,2.7802e+00
4.5811e-01,2.7876e+00
4.6033e-01,2.7948e+00
4.6256e-01,2.8020e+00
4.6480e-01,2.8090e+00
