,wl,n,k
0,2.4796999999999996e-07,0.18885,1.4035
1,2.5406e-07,0.19618,1.4617
2,2.6029999999999997e-07,0.2041,1.5216
3,2.6668999999999996e-07,0.21269000000000002,1.5835
4,2.7324e-07,0.22214,1.6477
5,2.7994999999999996e-07,0.23275,1.7146
6,2.8683000000000003e-07,0.24491999999999997,1.7846
7,2.9386999999999997e-07,0.25928,1.8581
8,3.0109e-07,0.27664,1.9353
9,3.0848e-07,0.29798,2.0161
10,3.1606e-07,0.32441,2.1005
11,3.2382e-07,0.35707,2.1878
12,3.3177e-07,0.39701,2.277
13,3.3992e-07,0.44504,2.3668
14,3.4826999999999993e-07,0.50164,2.4557
15,3.5681999999999994e-07,0.56684,2.5419
16,3.6559000000000003e-07,0.6402399999999999,2.6237
17,3.7456999999999995e-07,0.7209899999999999,2.6994
18,3.8377e-07,0.80782,2.7678
19,3.9319e-07,0.8992,2.8277
20,4.0285e-07,0.9933700000000001,2.8785
21,4.127399999999999e-07,1.0885,2.9201
22,4.2288000000000004e-07,1.1828,2.9525
23,4.3326e-07,1.2745,2.9764
24,4.439e-07,1.3622,2.9928
25,4.5481000000000003e-07,1.4448,3.0028
26,4.6598e-07,1.5213,3.0078
27,4.774199999999999e-07,1.5911,3.0093
28,4.891499999999999e-07,1.6542,3.0088
29,5.0116e-07,1.7105,3.0077
30,5.1347e-07,1.7606,3.0074
31,5.2608e-07,1.805,3.009
32,5.39e-07,1.8445,3.0134
33,5.522399999999999e-07,1.8802,3.0214
34,5.657999999999999e-07,1.9129,3.0334
35,5.796999999999999e-07,1.9438,3.0495
36,5.9393e-07,1.9737,3.0699
37,6.085199999999999e-07,2.0035,3.0943
38,6.2346e-07,2.0339,3.1224
39,6.3878e-07,2.0656,3.1537
40,6.5446e-07,2.0989,3.1878
41,6.705399999999999e-07,2.1343,3.2241
42,6.8701e-07,2.1718,3.2621
43,7.0388e-07,2.2115,3.3014
44,7.2117e-07,2.2535,3.3414
45,7.388799999999999e-07,2.2976,3.3818
46,7.5702e-07,2.3437,3.4223
47,7.7562e-07,2.3915,3.4625
48,7.9466e-07,2.441,3.5023
