,wl,n,k
0,2.4796999999999996e-07,0.44635,1.5069
1,2.4916999999999995e-07,0.44978999999999997,1.5166
2,2.5038e-07,0.45327,1.5263
3,2.5159000000000004e-07,0.45679,1.5361
4,2.5280999999999995e-07,0.46035,1.5458
5,2.5403e-07,0.46395,1.5556
6,2.5525999999999997e-07,0.46758999999999995,1.5654
7,2.565e-07,0.47126999999999997,1.5753
8,2.5774000000000003e-07,0.475,1.5851
9,2.5898999999999997e-07,0.47876,1.595
10,2.6024999999999996e-07,0.48257,1.6049
11,2.6150999999999996e-07,0.48641999999999996,1.6148
12,2.6278000000000003e-07,0.49032,1.6247
13,2.6405e-07,0.49425,1.6346
14,2.6533e-07,0.49823999999999996,1.6446
15,2.6661e-07,0.50226,1.6546
16,2.679e-07,0.5063300000000001,1.6646
17,2.692e-07,0.51045,1.6746
18,2.7050999999999995e-07,0.51461,1.6847
19,2.7182e-07,0.51882,1.6948
20,2.7313e-07,0.52308,1.7048
21,2.7446e-07,0.5273800000000001,1.715
22,2.7579e-07,0.53173,1.7251
23,2.7712e-07,0.53613,1.7352
24,2.7847e-07,0.5405800000000001,1.7454
25,2.798199999999999e-07,0.54508,1.7556
26,2.8116999999999997e-07,0.5496300000000001,1.7658
27,2.8253e-07,0.5542199999999999,1.7761
28,2.839e-07,0.55887,1.7863
29,2.8528e-07,0.56357,1.7966
30,2.8665999999999995e-07,0.56833,1.8069
31,2.8804999999999994e-07,0.57313,1.8172
32,2.8944000000000003e-07,0.57799,1.8275
33,2.9085e-07,0.58291,1.8379
34,2.9225999999999994e-07,0.5878800000000001,1.8483
35,2.9366999999999996e-07,0.5929,1.8587
36,2.9509000000000003e-07,0.5979800000000001,1.8691
37,2.9652e-07,0.60312,1.8795
38,2.9796e-07,0.60831,1.89
39,2.994e-07,0.61356,1.9005
40,3.0085e-07,0.61888,1.911
41,3.0230999999999996e-07,0.62425,1.9215
42,3.0378e-07,0.62968,1.932
43,3.0525e-07,0.63517,1.9426
44,3.0673e-07,0.64072,1.9531
45,3.0821e-07,0.6463399999999999,1.9637
46,3.0971e-07,0.6520199999999999,1.9743
